City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,carinhanha,-14.3047,-43.765,23.32,72,24,0.14,BR,1675658090
191,port lincoln,-34.7333,135.8667,21.81,58,2,4.9,AU,1675658091
192,eirunepe,-6.6603,-69.8736,21.81,98,100,0.55,BR,1675658091
193,berlevag,70.8578,29.0864,3.0,70,82,7.2,NO,1675658091
194,kashi,39.4547,75.9797,-0.44,64,75,3.0,CN,1675658092
195,bara,10.3744,10.7288,21.68,24,100,2.64,NG,1675657965
196,itaueira,-7.6033,-43.0256,24.49,61,100,0.57,BR,1675658092
197,wattegama,6.7989,81.4808,24.85,85,100,2.87,LK,1675658092
198,hasaki,35.7333,140.8333,12.22,54,61,2.84,JP,1675658016
199,teacapan,22.55,-105.75,18.92,81,1,1.52,MX,1675658093
200,yatou,37.15,122.3833,8.23,55,58,0.6,CN,1675658093
201,laem sing,12.4816,102.0738,33.01,89,36,2.43,TH,1675658093
202,port blair,11.6667,92.75,29.02,74,40,3.6,IN,1675658094
203,oga,46.4631,10.347,-3.44,97,86,2.23,IT,1675658094
204,beruwala,6.4788,79.9828,25.38,85,100,1.31,LK,1675658095
205,aswan,24.0934,32.907,11.61,37,0,0.0,EG,1675658095
206,kiama,-34.6833,150.8667,27.92,68,0,5.73,AU,1675658095
207,moranbah,-22.0016,148.0466,32.68,53,71,6.92,AU,1675658096
208,aras,42.5617,-2.356,3.24,75,0,3.6,ES,1675658096
209,ponta do sol,32.6667,-17.1,15.56,57,5,2.58,PT,1675658097
210,umm kaddadah,13.6017,26.6876,16.95,20,56,4.76,SD,1675658097
211,the valley,18.217,-63.0578,25.05,77,3,10.82,AI,1675657940
212,huarmey,-10.0681,-78.1522,22.26,82,83,2.07,PE,1675658097
213,mehamn,71.0357,27.8492,2.97,81,40,7.72,NO,1675658098
214,bambanglipuro,-7.95,110.2833,27.54,75,99,2.74,ID,1675658001
215,de-kastri,51.4667,140.7833,-14.14,77,100,2.87,RU,1675658098
216,port hueneme,34.1478,-119.1951,13.74,72,0,12.35,US,1675658098
217,bloomingdale,27.8936,-82.2404,21.12,79,100,1.54,US,1675657957
218,isangel,-19.55,169.2667,29.25,72,100,2.35,VU,1675657979
219,kapaa,22.0752,-159.319,25.99,86,100,6.17,US,1675658099
220,ginda,30.6945,78.4932,14.12,26,0,2.29,IN,1675658099
221,bandarbeyla,9.4942,50.8122,24.38,69,85,6.88,SO,1675658100
222,platteville,42.7342,-90.4785,-3.95,86,0,3.09,US,1675658100
223,sorong,-0.8833,131.25,25.85,82,100,2.34,ID,1675658100
224,berbera,10.4396,45.0143,23.3,68,50,3.16,SO,1675658101
225,buin,-33.7333,-70.75,24.51,74,0,0.77,CL,1675658101
226,yellowknife,62.456,-114.3525,-19.69,77,100,4.63,CA,1675658102
227,samarai,-10.6167,150.6667,26.63,86,99,6.36,PG,1675658103
228,lompoc,34.6391,-120.4579,10.99,77,20,11.62,US,1675658103
229,saskylakh,71.9167,114.0833,-40.97,100,97,1.75,RU,1675658105
230,mandera,3.9366,41.867,25.37,39,43,4.0,KE,1675658105
231,klimovo,52.3805,32.1923,-7.23,95,92,3.61,RU,1675658000
232,mahibadhoo,3.7833,72.9667,27.69,74,100,4.79,MV,1675658106
233,cidreira,-30.1811,-50.2056,21.11,87,96,2.31,BR,1675658107
234,meulaboh,4.1363,96.1285,25.86,79,99,3.7,ID,1675658108
235,margate,51.3813,1.3862,5.39,90,61,0.45,GB,1675657874
236,walvis bay,-22.9575,14.5053,17.83,87,100,1.14,NA,1675658086
237,imbituba,-28.24,-48.6703,20.63,88,9,1.81,BR,1675658110
238,saryozek,44.3583,77.9753,-2.03,83,100,1.11,KZ,1675658110
239,tuatapere,-46.1333,167.6833,19.55,51,85,4.78,NZ,1675658112
240,lorengau,-2.0226,147.2712,28.52,75,87,1.79,PG,1675658113
241,albanel,48.8832,-72.4487,-12.92,85,100,2.57,CA,1675658113
242,sanmenxia,34.7747,111.1814,11.49,31,68,1.66,CN,1675658114
243,pemba,-12.974,40.5178,25.39,94,75,1.54,MZ,1675658114
244,norman wells,65.282,-126.8329,-24.98,77,75,1.54,CA,1675658115
245,sibu,2.3,111.8167,30.17,74,40,1.54,MY,1675658115
246,bundaberg,-24.85,152.35,27.9,79,66,2.24,AU,1675658116
247,harper,4.375,-7.7169,25.97,84,94,2.72,LR,1675658116
248,glendive,47.1053,-104.7125,2.79,81,75,3.6,US,1675658117
249,gwanda,-20.9333,29.0,20.45,64,3,1.52,ZW,1675658118
250,cruz grande,16.7333,-99.1333,22.6,76,0,1.62,MX,1675658118
251,bestobe,52.4994,73.0975,-17.09,96,100,1.19,KZ,1675658119
252,kroya,-7.6331,109.2461,29.57,65,100,3.61,ID,1675658120
253,puri,19.8,85.85,26.29,49,27,3.16,IN,1675658120
254,kyshtovka,56.555,76.6271,-14.99,98,100,2.05,RU,1675658121
255,pointe-noire,-4.7761,11.8635,23.04,94,40,3.6,CG,1675658122
256,la seyne-sur-mer,43.0982,5.8847,9.97,71,100,7.6,FR,1675658122
257,ayan,56.45,138.1667,-18.54,67,63,2.25,RU,1675658122
258,namibe,-15.1961,12.1522,21.12,83,97,1.98,AO,1675658123
259,lebu,-37.6167,-73.65,15.07,89,0,7.04,CL,1675657892
260,gasa,31.5,34.4667,12.71,50,27,12.96,PS,1675658124
261,humberto de campos,-2.5983,-43.4611,23.55,95,92,1.91,BR,1675658124
262,berezovyy,51.6667,135.7,-14.38,68,20,0.86,RU,1675657913
263,quatre cocos,-20.2078,57.7625,28.38,75,88,4.9,MU,1675658125
264,mundo nuevo,18.7,-95.5,22.11,87,94,3.9,MX,1675658125
265,hovd,48.0056,91.6419,-12.33,71,60,1.55,MN,1675658126
266,kavieng,-2.5744,150.7967,28.65,72,85,3.18,PG,1675658127
267,agaro,7.85,36.65,17.79,56,17,0.55,ET,1675657942
268,martil,35.6166,-5.2752,9.98,81,38,1.03,MA,1675658128
269,catamarca,-28.4696,-65.7852,20.32,57,0,4.5,AR,1675658130
270,esperance,-33.8667,121.9,31.36,38,72,7.93,AU,1675658011
271,charlestown,-32.95,151.6667,28.61,69,1,2.68,AU,1675658130
272,saint-philippe,-21.3585,55.7679,28.77,78,71,5.46,RE,1675658131
273,xunchang,28.4543,104.715,15.03,57,100,1.01,CN,1675658131
274,lavrentiya,65.5833,-171.0,-23.54,92,87,3.3,RU,1675658131
275,souillac,-20.5167,57.5167,27.21,78,40,3.6,MU,1675658132
276,marzuq,14.4,46.4667,20.59,50,29,0.53,YE,1675658132
277,maldonado,-34.6667,-54.9167,19.01,89,17,2.86,UY,1675658132
278,koungheul,13.9833,-14.8,20.69,17,82,3.54,SN,1675658133
279,saint-augustin,51.226,-58.6502,-17.72,95,100,2.1,CA,1675658133
280,aquiraz,-3.9014,-38.3911,27.32,85,32,2.98,BR,1675658133
281,nelson bay,-32.7167,152.15,27.84,71,2,8.49,AU,1675658133
282,nouadhibou,20.931,-17.0347,14.99,51,0,8.23,MR,1675658134
283,svetlogorsk,52.6333,29.7333,-8.33,96,97,1.96,BY,1675658134
284,noto,36.8901,15.0693,-2.45,60,1,2.4,IT,1675658134
285,hemnesberget,66.2333,13.6333,1.43,94,100,2.09,NO,1675658135
286,erdemli,36.605,34.3084,8.21,84,93,3.81,TR,1675658135
287,rio grande,-32.035,-52.0986,20.43,83,2,1.42,BR,1675658135
288,san pedro,14.35,121.0167,30.18,68,40,3.09,PH,1675657987
